COMMAND     PID USER   FD      TYPE             DEVICE SIZE/OFF   NODE NAME
tuic-serv 11653 root  138u     IPv4             250481      0t0    TCP jp-n01.internal.cloudapp.net:49124->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  139u     IPv4             239136      0t0    TCP jp-n01.internal.cloudapp.net:59342->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  140u     IPv4             241916      0t0    TCP jp-n01.internal.cloudapp.net:50854->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  141u     IPv4             239530      0t0    TCP jp-n01.internal.cloudapp.net:53444->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  142u     IPv4             239620      0t0    TCP jp-n01.internal.cloudapp.net:41678->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  143u     IPv4             240560      0t0    TCP jp-n01.internal.cloudapp.net:59606->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  144u     IPv4             241458      0t0    TCP jp-n01.internal.cloudapp.net:43332->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  145u     IPv4             239920      0t0    TCP jp-n01.internal.cloudapp.net:39542->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  146u     IPv4             241962      0t0    TCP jp-n01.internal.cloudapp.net:42832->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  147u     IPv4             249955      0t0    TCP jp-n01.internal.cloudapp.net:46694->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  148u     IPv4             240671      0t0    TCP jp-n01.internal.cloudapp.net:51474->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  149u     IPv4             240324      0t0    TCP jp-n01.internal.cloudapp.net:55088->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  150u     IPv4             240826      0t0    TCP jp-n01.internal.cloudapp.net:43630->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  151u     IPv4             240842      0t0    TCP jp-n01.internal.cloudapp.net:43632->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  152u     IPv4             243724      0t0    TCP jp-n01.internal.cloudapp.net:46222->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  153u     IPv4             240953      0t0    TCP jp-n01.internal.cloudapp.net:43990->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
